Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.353037,,2.0,None,GUDB_06,GUDB_maths,engzeemod2012
250,0.388004,,2.0,None,GUDB_06,GUDB_walking,engzeemod2012
250,0.543006,,2.0,None,GUDB_06,GUDB_hand_bike,engzeemod2012
250,0.496,,2.0,None,GUDB_06,GUDB_jogging,engzeemod2012
250,0.356958,,2.0,None,GUDB_07,GUDB_sitting,engzeemod2012
250,0.313002,,2.0,None,GUDB_07,GUDB_maths,engzeemod2012
250,0.350033,,2.0,None,GUDB_07,GUDB_walking,engzeemod2012
250,0.420002,,2.0,None,GUDB_07,GUDB_hand_bike,engzeemod2012
250,0.340002,,2.0,None,GUDB_07,GUDB_jogging,engzeemod2012
250,0.449001,,2.0,None,GUDB_08,GUDB_sitting,engzeemod2012
250,0.507008,,2.0,None,GUDB_08,GUDB_maths,engzeemod2012
250,0.522002,,2.0,None,GUDB_08,GUDB_walking,engzeemod2012
250,0.339039,,2.0,None,GUDB_08,GUDB_hand_bike,engzeemod2012
250,0.284001,,2.0,None,GUDB_08,GUDB_jogging,engzeemod2012
250,0.338999,,2.0,None,GUDB_09,GUDB_sitting,engzeemod2012
