Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.328966,,2.0,None,GUDB_09,GUDB_maths,engzeemod2012
250,0.34603,,2.0,None,GUDB_09,GUDB_walking,engzeemod2012
250,0.346,,2.0,None,GUDB_09,GUDB_hand_bike,engzeemod2012
250,0.293999,,2.0,None,GUDB_09,GUDB_jogging,engzeemod2012
250,0.376,,2.0,None,GUDB_10,GUDB_sitting,engzeemod2012
250,0.346965,,2.0,None,GUDB_10,GUDB_maths,engzeemod2012
250,0.353,,2.0,None,GUDB_10,GUDB_walking,engzeemod2012
250,0.359974,,2.0,None,GUDB_10,GUDB_hand_bike,engzeemod2012
250,0.332002,,2.0,None,GUDB_10,GUDB_jogging,engzeemod2012
250,0.410001,,2.0,None,GUDB_11,GUDB_sitting,engzeemod2012
250,0.461003,,2.0,None,GUDB_11,GUDB_maths,engzeemod2012
250,0.392031,,2.0,None,GUDB_11,GUDB_walking,engzeemod2012
250,0.33104,,2.0,None,GUDB_11,GUDB_hand_bike,engzeemod2012
250,0.348998,,2.0,None,GUDB_11,GUDB_jogging,engzeemod2012
250,0.347996,,2.0,None,GUDB_12,GUDB_sitting,engzeemod2012
